"position","const","created","modified","description","Title","Title type","Directors","Dr-Faustus rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"26","tt2513074","Fri May 13 00:26:01 2016","Fri May 13 00:26:01 2016","","Die irre Heldentour des Billy Lynn","Feature Film","Ang Lee","","7.1","113","2016","drama, war","3547","2016-10-14","http://www.imdb.com/title/tt2513074/"
"27","tt3774114","Tue Sep 22 13:30:37 2015","Tue Sep 22 13:30:37 2015","","Snowden","Feature Film","Oliver Stone","","7.4","134","2016","biography, drama, thriller","47943","2016-07-21","http://www.imdb.com/title/tt3774114/"
"28","tt1860357","Tue Mar 22 15:04:04 2016","Tue Mar 22 15:04:04 2016","","Deepwater Horizon","Feature Film","Peter Berg","","7.3","107","2016","drama, thriller","42243","2016-09-13","http://www.imdb.com/title/tt1860357/"
"29","tt2592614","Tue May 24 09:31:50 2016","Tue May 24 09:31:50 2016","","Resident Evil 6","Feature Film","Paul W.S. Anderson","","7.3","106","2016","action, horror, sci_fi, thriller","503","2016-12-23","http://www.imdb.com/title/tt2592614/"
"30","tt1124037","Thu Mar 19 04:19:44 2015","Thu Mar 19 04:19:44 2015","","Free State of Jones","Feature Film","Gary Ross","","6.9","139","2016","action, biography, drama, history, war","22630","2016-06-24","http://www.imdb.com/title/tt1124037/"
"31","tt4853102","Thu Jun 23 23:22:37 2016","Thu Jun 23 23:22:37 2016","","Batman: The Killing Joke","Feature Film","Sam Liu","","6.6","76","2016","animation, action, crime, drama, sci_fi, thriller","30490","2016-07-22","http://www.imdb.com/title/tt4853102/"
"32","tt3691740","Fri Dec 11 12:04:38 2015","Fri Dec 11 12:04:38 2015","","BFG: Big Friendly Giant","Feature Film","Steven Spielberg","","6.5","117","2016","adventure, family, fantasy","37958","2016-05-14","http://www.imdb.com/title/tt3691740/"
"33","tt1386697","Fri May  8 08:27:42 2015","Fri May  8 08:27:42 2015","","Suicide Squad","Feature Film","David Ayer","","6.4","123","2016","action, adventure, fantasy, sci_fi","322269","2016-08-01","http://www.imdb.com/title/tt1386697/"
"34","tt2975590","Thu Mar 19 04:18:05 2015","Thu Mar 19 04:18:05 2015","","Batman v Superman: Dawn of Justice","Feature Film","Zack Snyder","","6.7","151","2016","action, adventure, sci_fi","437275","2016-03-12","http://www.imdb.com/title/tt2975590/"
"35","tt3385516","Fri May  1 23:52:04 2015","Fri May  1 23:52:04 2015","","X-Men: Apocalypse","Feature Film","Bryan Singer","","7.1","144","2016","action, adventure, sci_fi","234496","2016-05-09","http://www.imdb.com/title/tt3385516/"
"36","tt1619029","Sun Jul 31 13:21:53 2016","Sun Jul 31 13:21:53 2016","","Jackie: Die First Lady","Feature Film","Pablo Larraín","","7.7","100","2016","biography, drama","3607","2016-09-07","http://www.imdb.com/title/tt1619029/"
"37","tt2106651","Sun Dec  4 09:59:09 2016","Sun Dec  4 09:59:09 2016","","Spectral","Feature Film","Nic Mathieu","","6.4","107","2016","action, sci_fi, thriller","17267","2016-12-09","http://www.imdb.com/title/tt2106651/"
"38","tt3065204","Thu Feb 25 05:57:24 2016","Thu Feb 25 05:57:24 2016","","Conjuring 2","Feature Film","James Wan","","7.5","134","2016","horror, mystery, thriller","119536","2016-05-13","http://www.imdb.com/title/tt3065204/"
"39","tt2277860","Thu Mar 19 04:18:28 2015","Thu Mar 19 04:18:28 2015","","Findet Dorie","Feature Film","Andrew Stanton, Angus MacLane","","7.5","97","2016","animation, adventure, comedy, family","119804","2016-06-08","http://www.imdb.com/title/tt2277860/"
"40","tt3963816","Thu Jun  2 01:14:09 2016","Thu Jun  2 01:14:09 2016","","Marauders","Feature Film","Steven C. Miller","","5.4","107","2016","action, crime, thriller","8338","2016-07-01","http://www.imdb.com/title/tt3963816/"
"41","tt1995390","Wed May 18 04:48:46 2016","Wed May 18 04:48:46 2016","","Verräter wie wir","Feature Film","Susanna White","","6.2","108","2016","crime, thriller","9880","2016-05-01","http://www.imdb.com/title/tt1995390/"
"42","tt3498820","Sun Aug 23 02:44:44 2015","Sun Aug 23 02:44:44 2015","","The First Avenger: Civil War","Feature Film","Anthony Russo, Joe Russo","","8.0","147","2016","action, adventure, sci_fi","367332","2016-04-12","http://www.imdb.com/title/tt3498820/"
"43","tt3410834","Wed Feb 24 02:37:06 2016","Wed Feb 24 02:37:06 2016","","Die Bestimmung - Allegiant","Feature Film","Robert Schwentke","","5.7","120","2016","action, adventure, mystery, sci_fi, thriller","61138","2016-03-08","http://www.imdb.com/title/tt3410834/"
"44","tt2822672","Thu Aug 18 06:52:06 2016","Thu Aug 18 06:52:06 2016","","Rock Dog","Feature Film","Ash Brannon","","5.9","80","2016","animation, comedy, family","127","2016-06","http://www.imdb.com/title/tt2822672/"
"45","tt4385888","Sat Aug 13 12:18:57 2016","Sat Aug 13 12:18:57 2016","","20th Century Women","Feature Film","Mike Mills","","7.0","118","2016","comedy, drama","526","2016-10-08","http://www.imdb.com/title/tt4385888/"
"46","tt4680182","Wed Sep 14 00:24:00 2016","Wed Sep 14 00:24:00 2016","","Colossal","Feature Film","Nacho Vigalondo","","6.8","110","2016","action, sci_fi, thriller","276","2016-09-09","http://www.imdb.com/title/tt4680182/"
"47","tt4520364","Thu May 26 02:02:00 2016","Thu May 26 02:02:00 2016","","Das Morgan Projekt","Feature Film","Luke Scott","","5.8","92","2016","horror, mystery, sci_fi, thriller","12856","2016-09-01","http://www.imdb.com/title/tt4520364/"
"48","tt3519772","Sun Dec  4 10:00:16 2016","Sun Dec  4 10:00:16 2016","","Burn Country","Feature Film","Ian Olds","","4.7","102","2016","drama, thriller, war","277","2016-04-16","http://www.imdb.com/title/tt3519772/"
"49","tt4682786","Thu Sep  8 01:05:31 2016","Thu Sep  8 01:05:31 2016","","Verborgene Schönheit","Feature Film","David Frankel","","6.4","97","2016","drama","7678","2016-12-12","http://www.imdb.com/title/tt4682786/"
"50","tt3216348","Fri Nov  4 02:54:34 2016","Fri Nov  4 02:54:34 2016","","Incarnate","Feature Film","Brad Peyton","","5.2","91","2016","horror, thriller","2590","2016-12-01","http://www.imdb.com/title/tt3216348/"
"51","tt4778988","Sat Aug 13 12:16:32 2016","Sat Aug 13 12:16:32 2016","","LBJ","Feature Film","Rob Reiner","","7.7","98","2016","drama","97","2016-09-09","http://www.imdb.com/title/tt4778988/"
"52","tt3697398","Tue Oct  4 16:07:17 2016","Tue Oct  4 16:07:17 2016","","The Possession Experiment","Feature Film","Scott B. Hansen","","3.6","84","2016","horror, thriller","291","2016-10-27","http://www.imdb.com/title/tt3697398/"
"53","tt3062096","Sat Jan 16 11:20:26 2016","Sat Jan 16 11:20:26 2016","","Inferno","Feature Film","Ron Howard","","6.2","121","2016","action, adventure, crime, drama, mystery, thriller","54713","2016-10-08","http://www.imdb.com/title/tt3062096/"
"54","tt4706888","Tue Sep 20 04:12:36 2016","Tue Sep 20 04:12:36 2016","","Laid in America","Feature Film","Sam Milman, Peter Vass","","4.8","85","2016","comedy","2247","2016-09-26","http://www.imdb.com/title/tt4706888/"
"55","tt3647498","Sat Mar  5 02:51:11 2016","Sat Mar  5 02:51:11 2016","","Blood Father","Feature Film","Jean-François Richet","","6.5","88","2016","action, crime, thriller","32217","2016-05-21","http://www.imdb.com/title/tt3647498/"
"56","tt4302938","Fri Dec 11 12:08:24 2015","Fri Dec 11 12:08:24 2015","","Kubo: Der tapfere Samurai","Feature Film","Travis Knight","","8.0","101","2016","animation, adventure, family, fantasy","44609","2016-08-13","http://www.imdb.com/title/tt4302938/"
"57","tt5059406","Mon Oct 31 14:59:33 2016","Mon Oct 31 14:59:33 2016","","I Am the Pretty Thing That Lives in the House","Feature Film","Oz Perkins","","4.7","87","2016","thriller","2997","2016-09-10","http://www.imdb.com/title/tt5059406/"
"58","tt4334266","Sun Sep 18 02:59:17 2016","Sun Sep 18 02:59:17 2016","","The Bad Batch","Feature Film","Ana Lily Amirpour","","6.1","118","2016","romance","224","2016-09-06","http://www.imdb.com/title/tt4334266/"
"59","tt2923088","Mon Nov 14 14:16:02 2016","Mon Nov 14 14:16:02 2016","","The Windmill Massacre","Feature Film","Nick Jongerius","","4.9","85","2016","drama, horror","1030","2016-08-29","http://www.imdb.com/title/tt2923088/"
"60","tt2597768","Wed Oct 26 05:45:43 2016","Wed Oct 26 05:45:43 2016","","Come and Find Me","Feature Film","Zack Whedon","","5.8","112","2016","drama, thriller","1500","2016-11-11","http://www.imdb.com/title/tt2597768/"
"61","tt5893524","Sun Dec  4 10:01:38 2016","Sun Dec  4 10:01:38 2016","","Lulu the Movie","Feature Film","Michelle Chong","","5.1","90","2016","comedy","36","2016-11-24","http://www.imdb.com/title/tt5893524/"
"62","tt3173594","Mon Nov 14 14:15:26 2016","Mon Nov 14 14:15:26 2016","","Hacker","Feature Film","Akan Sataev","","6.4","95","2016","crime, drama, thriller","1489","2016-09-15","http://www.imdb.com/title/tt3173594/"
"63","tt4191702","Fri Dec 23 01:17:53 2016","Fri Dec 23 01:17:53 2016","","Norman: The Moderate Rise and Tragic Fall of a New York Fixer","Feature Film","Joseph Cedar","","6.3","117","2016","drama, thriller","43","2016-09-03","http://www.imdb.com/title/tt4191702/"
"64","tt3564574","Wed Jul 13 11:37:25 2016","Wed Jul 13 11:37:25 2016","","Éternité","Feature Film","Tran Anh Hung","","6.0","115","2016","drama","232","2016-09-07","http://www.imdb.com/title/tt3564574/"
